,usuario,texto;;;;;;;;;;;;;;;;;;;;;;
"1833,@UOLNoticias,""@AnaVRinnn @algumaconta3 @mdmadrigal @UOLNoticias Bom, se sofrer impeachment pode se candidatar de novo, certo? Pelo menos foi assim q o STF decidiu com a Dilma. ";;;;;;;;;;;;;;;;;;;;;;
Mas vai que sofre impeachment, nÈ? ;;;;;;;;;;;;;;;;;;;;;;
"Caso n„o sofra, e o corona n„o dizime a base eleitoral dele, vc o ver·no 2∞ turno. Agora se acalme, eu vi o PT vender 4x e to viva""";;;;;;;;;;;;;;;;;;;;;;
"1836,@UOLNoticias,""@lulesimon @algumaconta3 @mdmadrigal @UOLNoticias Amiga o CORONAVÕRUS t·matando gente adoidado, quem sabe n„o mata alguns desses 30%? Ou alguns dos nulos? Quem sabe se o Bolsonaro vai se impeachment? Quem sabe o que pode acontecer atÈ 2022?? Se o PT apoiar outro partido? VocÍs EST√O contando literalmente com o ovo n cu""";;;;;;;;;;;;;;;;;;;;;;
1841,@UOLNoticias,@UOLNoticias Pegue o Corona e ganhe R$250 reais de brinde.;;;;;;;;;;;;;;;;;;;;;;
"1845,@UOLNoticias,""@UOLNoticias Essa praga n„o obedece ninguÈm. Esse infeliz conseguiu o que polÌtico nenhum conseguiu, destruiu o Brasil em menos de  2 meses, esse encosto È pior que o corona, uma desgra· para o Brasil.""";;;;;;;;;;;;;;;;;;;;;;
"1850,@UOLNoticias,""@UOLNoticias A mÌdia estrangeira N√O critica o presidente BOLSONARO por combate ao coronavÌrus. A crÌtica real È a falta do combate, a falta de compromisso com uma populaÁ„o sofrida e humilhada por polÌticos.@UOLNoticias""";;;;;;;;;;;;;;;;;;;;;;
1851,@UOLNoticias,@UOLNoticias AtÈ a conservadora Fox News ja ta desmerecendo ele apos suas tentativas de fechar congresso. E lembra aquele papo do seu filho ter negado que falou que ele tava com Corona? Hahahaha;;;;;;;;;;;;;;;;;;;;;;
"1852,@UOLNoticias,""@UOLNoticias Querem ouvir a palavra coronavÌrus È sÛ assistir o Jornal Nacional, l·vocÍs v„o ouvir mais de 100 vezes.""";;;;;;;;;;;;;;;;;;;;;;
"1858,@UOLNoticias,""@lipinhubr @UOLNoticias AglomeraÁıes, claro que o mundo inteiro ia falar sobre isso";;;;;;;;;;;;;;;;;;;;;;
" Estamos na pandemia, estamos com a medalha de prata do Corona, perdendo sÛ para EUA, e o presidente sem m·cara no meio das pessoas e pegando crianÁas no colo. Ele È um chefe de estado e deveria saber a import‚ncia do""";;;;;;;;;;;;;;;;;;;;;;
"1861,@UOLNoticias,""@UOLNoticias SÛ rindo mesmo kkkk O gado acha que o universo conspira contra o """"mitu"""" deles üòÇü§£üòÇü§£ A verdade È que ele nem se quer tentou combater o corona....""";;;;;;;;;;;;;;;;;;;;;;
"1874,@UOLNoticias,""@UOLNoticias Ser·que algum brasileiro acreditou que as compras de equipamentos e insumos para combater o coronavÌrus sem licitaÁ„o n„o iria fazer a festa dos governantes, polÌticos, empres·rios e aliados corruptos e do partido do Centr„o que se vendeu em troca da pasta da sa˙de.""";;;;;;;;;;;;;;;;;;;;;;
1875,@UOLNoticias,@UOLNoticias O corona n„o merece este vÌrus;;;;;;;;;;;;;;;;;;;;;;
"1901,@UOLNoticias,""E aÌ≠, os mortos, sem ser autopsiados, os mortos ser„o declarados como sendo de corona, engrossando as estatÌsticas fraudulentas, para deleite da globolixo";;;;;;;;;;;;;;;;;;;;;;
Pandemia cancela 7 em cada 10 cirurgias de c‚ncer;" mortes podem crescer 20% https://t.co/XkITtbFVOA via @UOLNoticias @UOL""";;;;;;;;;;;;;;;;;;;;;
1968,@UOLNoticias,@UOLNoticias Engra·do? Uma situaÁ„o que aconteceu anos e anos atr·!!! O cara j·pagou...!!! Portanto a sociedade brasileira continua podre!!! E isso nunca ir·mudar!!! sÛ f·il!!! T·aÌ≠!!! Casos e casos de Corona sÛ aumenta!!!;;;;;;;;;;;;;;;;;;;;;;
2031,@UOLNoticias,@UOLNoticias Seus CAGOES! TÈcnica? TÈcnica se eles n„o tivessem mais casos que o Brasil de coronavÌrus! Governo submisso de MERDA. üò†üò†üò†;;;;;;;;;;;;;;;;;;;;;;
"2082,@UOLNoticias,""@UOLNoticias Que falta fez uma pris„o pra esses velhos gag· amantes do fascismo. J·que n„o houve essa justi·, poderiam ao menos sair pintando postes e podiam aproveitar e lamber uma ma·neta com corona.""";;;;;;;;;;;;;;;;;;;;;;
