;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29889;@jairbolsonaro;Acho que o discurso ‚ÄúMorra com o Corona‚Äù do @jairbolsonaro foi Escrito e Dirigido pelo Roberto Justus em parceria com os donos do Madero, Havan e Girafa‚Äôs! ACORDA: No mundo j· s„o 10.080 mortos! Nos cuidemos! #n„oÈgripe #coronavirusmata üè≥Ô∏è;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29890;@jairbolsonaro;SÛ idosos morrem de corona, nÈ? @jairbolsonaro https://t.co/5rbFIuY3bW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29892;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro VAO TOMAR NO CU SEUS LIXOS DO CARALHO TOMARA QUE PEGUEM CORONA PELO CU SEUS BANDO DE FILHO DA PUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29893;@jairbolsonaro;@jairbolsonaro Vou rezar essa noite pra vocÍ morrer de coronavÌrus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29895;@jairbolsonaro;@joicehasselmann @jairbolsonaro Quantos direitos individuais est„o sendo violados por decretos estaduais com a simples alegaÁ„o do coronavÌrus. Tudo serve de pretexto para violar direitos constitucionais. #histeriaCoronaVÌrus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29898;@jairbolsonaro;"@anna_giov_ @FlavioBolsonaro @jairbolsonaro sim tem gente""torcendo"" pro corona, eu sou um deles por exemplo #GoCorona";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29899;@jairbolsonaro;@jairbolsonaro E aÌ BOIsonaro? J· q sÛ idosos morrem, poderia vc ser um deles nÈ. Seja do c‚ncer q tenta esconder ou do corona q tb tenta esconder. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sei q n„o ficar· chateado com o tt;afinal desejou o msm a outras pessoas;"nÈ. #ForaBolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29900;@jairbolsonaro;@richards_pozzer @joicehasselmann @jairbolsonaro Sem falar que est·s estatÌstica est„o infladas, 86% das pessoas sequer sabem que tem o Corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29901;@jairbolsonaro;@jairbolsonaro sÛ n pega corona pq nem ele te quer, n È pq tu È atleta n man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29903;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro sÛ v„o aprender quando um da famÌlia Bolsonaro morrer de corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29904;@jairbolsonaro;@_dudaah5 @jairbolsonaro vai la gata morrer com o corona, boa sorte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29905;@jairbolsonaro;@Henriqu40525009 @jairbolsonaro Que o coronavÌrus implante no cu de quem concorda,uma boa noite, grata pela atenÁ„o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29907;@jairbolsonaro;"@fetishlouist @vini_giavoni @odilaki @jairbolsonaro ""lutando pela sua vida"" ah n„o fode meu tio È mÈdico e disse que j· atendeu mais de 4 pacientes com corona e todos se recuperaram em menos de 3 dias e um deles tinha 87 anos, vocÍs ficam fazendo alvoroÁo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29908;@jairbolsonaro;@messa_luiz @jairbolsonaro olha oq o coronavÌrus fez com meu amigo ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Se acha q sapoha È inofensiva ainda ?""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29909;@jairbolsonaro;Papo reto...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 por essa nem o coronavÌrus esperava! Pqp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Valeu @jairbolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29910;@jairbolsonaro;@camomila_canela @jairbolsonaro amiga, o corona tem atÈ medo de t„o tÛxico que ele È;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29911;@jairbolsonaro;@jairbolsonaro VocÍ devia pegar o corona e morrer seu miser·vel de uma figa pior presidente da histÛria desse paÌs morra sozinho seu inutil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29912;@jairbolsonaro;@jairbolsonaro Realmente Deus YHWH est· presente em sua vida? Confiei no senhor e ainda fala coisas sem sentido.  O sangue das vÌtimas do coronavÌrus est· em suas m„os!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29913;@jairbolsonaro;@Flamenguistaoto @JCKPrudencio @silva_felipeAl @secomvc @jairbolsonaro J· tem mais gente morrendo de fome do que de corona entao tua teoria È melhor morrer de fome que de um vÌrus ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29914;@jairbolsonaro;@MajorVitorHugo @jairbolsonaro Faz o seguinte. Vai l· pegar o coronavÌrus e n„o se trata. AÌ vc vai ver se È sÛ uma gripezinha.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29915;@jairbolsonaro;@jairbolsonaro 1- Pessoal tem algo errado, qualquer manifestaÁ„o do PR est· recebendo ataques depois desse coronavÌrus, algo est· muito estranho atÈ o pronunciamento do PR no YouTube tem muitos deslikes e a soma com os likes S„o superiores ao n˙mero de vi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29916;@jairbolsonaro;@Fernand37513479 @camabap @jairbolsonaro Ent„o v· l· meu amigo, pegue corona abrasse sua m„e e vamos esperar ela morrer e sua opini„o mudar.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29917;@jairbolsonaro;"""PRA QUE FECHAR ESCOLA?""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Ent„o meu eu queridÌssimo presidente @jairbolsonaro e bolsominions. N È sÛ as pessoas que tem idade acima de 60 anos que eh o alvo do Corona; pessoas com doenÁas crÙnicas. E se as escolas e comÈrcios (vou continuar) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Hantavirus ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#ImpeachmentDeBolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29920;@jairbolsonaro;@Henriqu40525009 @jairbolsonaro … isso, mito mito mito, quando tiver com corona, pede pra ele fuzilar o vÌrus. Mitoüá¶üá∑üá¶üá∑üá¶üá∑;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burro.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29923;@jairbolsonaro;@jairbolsonaro Decepcionante o Senhor, em plena Crise Mundial, no enfrentamento ao coronavÌrus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29924;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro medo de vc colocar seu pai pra sair e o corona contrair ele https://t.co/E0QxBB8Ep9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29927;@jairbolsonaro;@DricaDF @jairbolsonaro @thallokomeu N„o tem nem ·lcool em gel suficiente para as pessoas que est„o com o corona imagina pra seguir as ordens do teu presidente.  Sinto te dizer  VocÍ n„o est· nos Estados Unidos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29930;@jairbolsonaro;@brunaso32984178 @vini_giavoni @odilaki @jairbolsonaro a falta de empatia com as pessoas que pegaram corona e est„o lutando pelas suas vidas. escrota do caralho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29931;@jairbolsonaro;@TVBrasil @jairbolsonaro Pra ajuda nos Estados. O corona È sÛ uma gripezinha.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29932;@jairbolsonaro;@jairbolsonaro VAI PEGAR CORONA VAI SEU BABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29933;@jairbolsonaro;corona mata velho... ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e @jairbolsonaro t· vivo atÈ hj pq gente; j· deu a hr dele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alguÈm avisaaaaaaaaaa""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29934;@jairbolsonaro;@Lerraolegluger @jairbolsonaro Pega corona aÌ sÛ pra gente testar se mata mesmo https://t.co/0iGOu6Hsg2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29936;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro espero q vc e sua famÌlia morram com coronavÌrus, seu bando de fdp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29938;@jairbolsonaro;Cada vez mais eu tenho certeza q o exame de coronavÌrus do @jairbolsonaro deu positivo e por saber q est· com os dias contados ele t· tocando o f*da-se pro resto! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#ForaBolsonaro #ImpeachmentDeBolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29939;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro Querido, olha qualquer jornal, ou olha o twitter, ou liga pra um amigo rico seu de outro pais e pergunta O CAOS DO INFERNO QUE EST¡Å por conta do corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
… uma excelente ideia mandar td mundo pras ruas sendo q os casos confirmados so aumentam ne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"… tao difÌcil ouvir qm entende?""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29940;@jairbolsonaro;@jairbolsonaro @fab_oficial @DefesaGovBr @ItamaratyGovBr @ernestofaraujo Os esquerdopatas est„o torcendo pelo vÌrus Corona...Eu j· sabia...#BolsonaroAte2026  Somos todos Bolsonaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29941;@jairbolsonaro;@PauloMartins10 Achei que o @jairbolsonaro est· corretÌssimo. Quantos direitos individuais est„o sendo violados por decretos estaduais com a simples alegaÁ„o do coronavÌrus. Tudo serve de pretexto para violar direitos constitucionais. #histeriaCoronaVÌrus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29942;@jairbolsonaro;@jairbolsonaro acho que vc deveria pegar o corona e enfiar todinho no seu cu seu arrombado do caralho filho de uma grande rapariga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29943;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro Que o corona abrace ele com todas as forÁas!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29944;@jairbolsonaro;@jairbolsonaro Os esquerdopatas est„o torcendo pelo vÌrus Corona...Eu j· sabia...#BolsonaroAte2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29945;@jairbolsonaro;@theanaclaudia @BiologiaBraba @jairbolsonaro Burra. A recess„o vir· com ou sem corona. Empresas v„o quebrar e milhares perder„o o emprego com ou sem quarentena. A quarentena garante um processo menos doloroso.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ali·s; minto. Burra n„o. Escrota mesmo;" a verdade È simples e vocÍ prefere salvar n˙meros e n„o vidas.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29946;@jairbolsonaro;@TintimDoBrasil @FlavioBolsonaro @jairbolsonaro Boa idea mas a inÌcio a primeira opÁ„o de grupo de risco parece vi·vel!Porque nada vai acontecer se eles estiverem isolados, o 2¬∞passo È teste em massa e isolamento dos infectados !O 3¬∞e melhor È exame pra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29947;@jairbolsonaro;@jairbolsonaro Meus Deus! De fato vocÍ tem um despreparo descomunal, alÈm de desumano e desorientado. Melhor vocÍ renunciar. Vai ficar menos feio! Ou tira um recesso... J· sei! Confirma que est· com o corona e entrega o paÌs na m„o daqueles que est„o mais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29949;@jairbolsonaro;@anacarla_abrao @veramagalhaes @jairbolsonaro Quero ver vc bancar a janta de td brasileiro na recess„o que vai matar mais que  o corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29950;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro BURRO DO CSRALHO O VIRUS SE ESPALHA COM FACILIDADE N IMPORTA SE VC … JOVEM OU IDOSO VC VAI PEGAR CORONA  https://t.co/5RrPlxZCE6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29951;@jairbolsonaro;@NajuliaMoraiss @jairbolsonaro corona È leve queria q fosse logo um tumor cerebral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29952;@jairbolsonaro;A diferenÁa È ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n„o È o CORONAVIRUS e n„o e o PR @jairbolsonaro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A mÌdia È muito parcial #JuntosPeloBrasil https://t.co/7fEyR80YQK""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29953;@jairbolsonaro;… incrÌvel q Bolsonaro pergunta por que q as aulas est„o canceladas. Eu respondo: as crianÁas podem passar coronavÌrus pros idosos. Simples. @jairbolsonaro È uma das pessoas mais burras q j· vi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29954;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro vai l· vcs pegarem corona ent„o filhos da puta o corona n„o quer vcs de tanta sujeira que tem dentro do corpo dos dois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29955;@jairbolsonaro;@JaneteDornas5 @escolhasdaju @FlavioBolsonaro @jairbolsonaro Querida, n„o se prenda dentro de casa. Saia na rua, pegue o corona e v· pra puta que lhe pariu! Para de ser loka!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29956;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro ent„o os eleitores do seu pai que saiam e peguem o corona pra salvar a economia. eu quero salvar minha famÌlia.  #forabolsonaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29958;@jairbolsonaro;@isentoes2 …, mas o Bolsonaro podia conter um poucos as falas, pq sen„o sÛ v„o usar isso contra ele, quando alguÈm que teve um parente que morreu pro corona ouvir que È sÛ uma gripezinha n„o vai ficar muito contente com o presidente @jairbolsonaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29959;@jairbolsonaro;PUTA QUE PARIU QUE HOMEM RETARDADO, O MUNDO INTEIRO EM PANICO E ELE SE VANGLORIANDO DIZENDO QUE COMO ATLETA N√O SENTIRIA OS SINTOMAS DO CORONAVIRUS @jairbolsonaro VAI SE TRATAR IMBECIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29962;@jairbolsonaro;@hendrischkyrj @PorTiMeu_BR @jairbolsonaro AÁıes do governo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Que aÁıes?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Que governo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O louco na presidÍncia est· nos levando para morte e ainda tem maluco defendendo seu executor!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahhh vai se proteger do corona;" Dona Maria!""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29963;@jairbolsonaro;@jairbolsonaro Os esquerdopatas est„o torcendo pelo vÌrus Corona...Eu j· sabia...#BolsonaroAte2026  Quanta canalhice da extrema esquerda e imprensa marron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29967;@jairbolsonaro;@FabianaMMendes @TarFer @FlavioBolsonaro @jairbolsonaro Fia qq tem a ver o Lula com o coronavÌrus?????;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29969;@jairbolsonaro;@jairbolsonaro VOC  … O PR”PRIO CORONAVIRUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29970;@jairbolsonaro;Corona tu vai deixar o @jairbolsonaro te  chamar de GRIPIZINHA deixava n„o! Mostrava pra ele te respeitar!! #ForaBolsonaro #FiquemEmCasa https://t.co/p7mXUokWCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29971;@jairbolsonaro;@jairbolsonaro NINGU…M TE AVISOU SOBRE O PERIGO DO CORONA N√O?????????????? VAI ESTUDAR ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#ForaBolsonaro""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29973;@jairbolsonaro;@YudiPanetone @ratoborrachudo @jairbolsonaro Uma vida vale muito, por isso que o Brasil n„o pode parar, a crise vai causar mais mortes que o Corona, ent„o uma vida pra mim vale mt mais do que pra vc pelo visto...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Governo ladr„o? Mas o PT perdeu a eleiÁ„o;" desculpa!""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29974;@jairbolsonaro;@jairbolsonaro Eu n„o vi em momento nenhum o presidente minimizando o coronavÌrus ele precisa de serenidade com conhecimento do seu Ministro de sa˙de precisa estar consciente e se tudo desandar a economia fundo e afunda todos juntos esse momento os sangue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29975;@jairbolsonaro;@jairbolsonaro @MInfraestrutura @tarcisiogdf Se o coronavÌrus n„o È perigoso, porque n„o fazem presencial?????;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
… uma gripezinha;" ainda mais para quem È atreta....""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29976;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro A onda do coronavÌrus ü¶† n„o reduzir· com este pronunciamento e a recess„o ocorrer· . O saldo de mortes n„o ser· positivo para este governo e aguardem os EUA como novo epicentro.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29977;@jairbolsonaro;@HHTM2020 @observ1972 @FlavioBolsonaro @jairbolsonaro Vai ver o presidente da china , deve ter falado com ele hoje , que o corona e so uma gripezinha.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29978;@jairbolsonaro;@jairbolsonaro  Boa noite Sr Presidente , sei que È quase impossÌvel o senhor responder mais me explica , como o senhor faz para tentar controlar essas duas pragas : CORONAVÕRUS  E A ESQUERDA QUE PARECE ESTAR FELIZ COM A CRISE ! Desde j· agradecido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29979;@jairbolsonaro;@fernandorocha26 @jairbolsonaro com certeza tinha alguma doenÁa ... morreu da doenÁa n„o do corona... ele sÛ tava no lugar errado na hora errada mas nÈ... fazer o quÍ? PrÛximo.... ent„o o outro de 30 anos m˙sico, carioca... ahhh tb tinha outra doenÁa... P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29980;@jairbolsonaro;@FabianaMMendes @TarFer @FlavioBolsonaro @jairbolsonaro Pense o que vc quiser, uma coisa n„o anula a outra! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolsonaro est· incentivando a quebra de um protocolo de seguranÁa; o que pode acarretar em mais mortes pelo corona e uma propagaÁ„o mais r·pida da doenÁa e isso faz dele; alÈm de um criminoso;" um grande filho da pwta""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29982;@jairbolsonaro;@Henriqu40525009 @jairbolsonaro Espero que n„o tenha filhos, pai e m„e, avÛs, por que se tiver e pegar o Corona n„o vai no hospital n„o t·, pois n„o vai nem adiantar, sabe por que? Vai estar superlotado e sabe de quem ser· a culpa? Sua e de muitos outros ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29983;@jairbolsonaro;@Cross_GP @jairbolsonaro Ele flw q n precisa fechar as escolas pq qm tem mais risco de corona s„o quem tem mais de 60 anos KKKKKK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29984;@jairbolsonaro;todo mundo que votou no @jairbolsonaro tem que ir pra rua amanh„. o mito mandou! cuida, gado! levem os filhos pra rua. È sÛ uma gripezinha. todo mundo na rua amanh„!!! n„o tem mais corona na rua! #forabolsonaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29986;@jairbolsonaro;alÙ @jairbolsonaro ou o senhor tem uma carta na manga e amanh„ vai anunciar junto com o Trump o tratamento para o coronavÌrus, pois seu discurso hoje est· alinhado com o pres dos EUA ou seu governo acabou. jogou todo tipo de merda no ventilador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29987;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro OS VULNER¡VEIS TEM CONTATO COM QUEM T√Å TRABALHANDO SEU IMBECIIIIIIIIIIS. N√O … POSS√çVEL, VCS DEVEM ESTAR LEVANDO ESSA MERDA DE CORONAVÕRUS NA BRINCADEIRA PQP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29989;@jairbolsonaro;@jairbolsonaro @MInfraestrutura @tarcisiogdf Presidente, Ûbvio que o sr iria suspender a dÌvida dos Estados para que usem esse dinheiro ( por favor exija notas fiscais para bater recurso/gasto ) equipando seus hospitais contra o corona. Mas precisava  aqu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29990;@jairbolsonaro;@educardinal @jairbolsonaro AÌ que entra o corporativismo militante dos grupos de .mÈdicos registrando toda morte por gripe como corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29991;@jairbolsonaro;@Ge_JuniorBr @jairbolsonaro E se o povo voltar √† atividade normal (ou quase) e a crise do Corona se agravar (mesmo que n„o seja por esse motivo)? NinguÈm sabe o que pode acontecer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29992;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro pega o corona junto com seu pai seu v3lho in˙til;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29993;@jairbolsonaro;@Samuel_SouSho @BiologiaBraba @jairbolsonaro Passa de ano e morre pro corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"stonks""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29997;@jairbolsonaro;@jairbolsonaro Que o corona esteja com vocÍ üëç;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29998;@jairbolsonaro;@jairbolsonaro CrianÁas s„o o maior vetor de transmiss„o do Coronavirus. Sugerir abrir escolas, nessa situaÁ„o, significa enviar o corona diretamente pros pais e avÛs. Isso È um absurdo!!! A inglaterra tentou e n„o deu certo! #ForaBolsonaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29999;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro Acorda pra vida , S„o Paulo qualquer morte eles v„o colocar como corona esse @jdoriajr  È capaz de tudo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30003;@jairbolsonaro;@ReneSBarbosa @CarolDeToni @jairbolsonaro Animal È vc seu verme... eu preciso trabalhar se vc n„o precisa fique em casa... o corona n„o me preocupa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30008;@jairbolsonaro;@FlavioBolsonaro @jairbolsonaro pau no seu cu e corona na sua vida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30012;@jairbolsonaro;@jairbolsonaro  vergonha  .....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nem o corona quis vc....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Respeita a naÁ„o Brasileira;"  ja que a mesma n„o  se respeitou quando elegeu vc...""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
