;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;@jairbolsonaro;@jairbolsonaro andando sem m·scara no meio da multid„o, o corona fazendo a festa, uma hora pega üôèüèª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;@jairbolsonaro;@jairbolsonaro QUE O CORONA TE POSSUA SEU VERME ASQUEROSO MAMADOR DO TRUMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;@jairbolsonaro;@jairbolsonaro N„o deveria incentivar aglomeraÁ„o, do mesmo jeito que os seus opositores n„o deveriam se reunir pra fazer protesto, todo mundo esqueceu o corona, foi???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;@jairbolsonaro;@jairbolsonaro ai corona pq vc nao mata esse homem logo?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;@jairbolsonaro;@jairbolsonaro fica quieto velho retardado do caralho. n„o notou que ninguÈm vai com sua cara n„o, seu merda?? cadÍ a porra do seu senso de ridÌculo, Ù teu verme desgraÁado? espero que a porra do corona faÁa o trabalho dele e te leve de uma vez, boÁal noj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;@jairbolsonaro;@jairbolsonaro corona por favor n„o demore a agir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;@jairbolsonaro;@CarlaZambelli38 @jairbolsonaro Isso, vcs ajudam a propagarem o coronavÌrus!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vcs est„o preocupados com o rabo de vcs; mas n„o com os outros!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bela atitude;"  senhora @CarlaZambelli38""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;@jairbolsonaro;@jairbolsonaro NEM O CORONA QUIS CHEGAR PERTO DE VOC  SEU VERME PODRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;@jairbolsonaro;@jairbolsonaro Que o Corona te carregue üôå;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;@jairbolsonaro;@jairbolsonaro entao vai t· morto enterrado pq depois dessa metade sai daÌ com corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
