,usuario,texto;;
"934,@felipeneto,""@dheysondutra @felipeneto @GokuPiauiense A cloroquina não tem o mesmo efeito em todos os organismos, e para corona vírus foi provado que não funciona""";;
"937,@felipeneto,""@coronavirusnobr @felipeneto corona?????? tá tarde já, acho melhor o senhor ir dormi""";;
946,@felipeneto,@saytzefff @felipeneto @SOCIO_CORONA corno;;
947,@felipeneto,@idmariano @felipeneto @SOCIO_CORONA Eu fui mais rapido https://t.co/eCQ3uh1R9Y;;
948,@felipeneto,@felipeneto Carteirinha @SOCIO_CORONA;;
952,@felipeneto,@felipeneto Carteirinha @SOCIO_CORONA;;
960,@felipeneto,@CanalNandaLaila @felipeneto Relaxa que se morrer de corona nem vai mais comer;;
1010,@felipeneto,@felipeneto @SOCIO_CORONA carteirinha;;
1047,@felipeneto,@Leandro32340657 @felipeneto Tá bom vai lá para a sua balada e pega corona só não espalha;;
1081,@felipeneto,@felipeneto Logo não sairemos de casa com medo do Corona vírus e sim por medo de uma intervenção...;;
"1093,@felipeneto,""@felipeneto Sao amalucados. Pos corona, a populacao deve irnpedir que as amecas e crimes sejam investigados para colocar esses possiveis bandidos na cadeia.""";;
1099,@felipeneto,@felipeneto Depois vai vender pão batata doce no mundo verde. Precisa avisar que o corona mata mais que glúten?;;
"1112,@felipeneto,""@felipeneto Só digo uma coisa vai ser guerra feia, pois se isso acontecer eu saio daqui onde eu moro e vou a frente do @STF_oficial e sei que toda a esquerda vai, pode ter corona vírus ou não...""";;
"1129,@felipeneto,""@PuccaRevolt @RaphaelMontei17 @renansalles_ @joaoamoedonovo @felipeneto Sou contra isso by the way.. isso foi oq inflou essa bolha atual q explodiu c o corona virus na Europa, EUA e Japão. O governo n deve ser acionista de empresas e o BC jamais deve ter autorização pra comprar titulos de empresas.""";;
1272,@felipeneto,@Daniel43089658 @Luludefreitas @joaoamoedonovo @felipeneto Se tu quiser posso te mostrar algumas empresas bilionárias q já tem projetos sociais de bem antes do corona vírus?;;
"1313,@felipeneto,""@felipeneto Isso se o corona não devastar o STF, né?! Eu conheço a Verdade e a Verdade me libertará!";;
"PS: Jesus é o Caminho, a ~Verdade e a Vida.""";;
"1346,@felipeneto,""@ErivandeFreita1 @JaderDeconto @MrPrgm @felipeneto @joaoamoedonovo Porra! Tu pede transparência e mostro um ranking que avalia a transparência dos Estados no combate ao corona vírus, assunto em questão, e muda para dados dos gastos? Além de ser informado por publicidade, não é algo sigiloso. De onde tirou que não há transparência com gastos?""";;
1358,@felipeneto,@joaoamoedonovo @felipeneto Governo de MG não faz testes do corona vírus e esconde casos de mortos por covid 19;;
"1360,@felipeneto,""@acelina_mar @felipeneto @alexandre Coisas pequenas e insignificantes também causam estragos e destroem vidas. O próprio Corona vírus ilustra bem isso para vc entender. Por isso, tem que ser vigiado de perto. Conseguiu entender? O Nelipe Feto te mantém na coleira ou solta na varanda para vigiar a página dele?""";;
"1385,@felipeneto,""@SupportFeNeto @felipeneto O @felipeneto so nao vai caçar janguru na australia por conto do corona, triste ğŸ˜¢""";;
"1386,@felipeneto,""@SupportFeNeto @felipeneto O @felipeneto so nao vai caçar janguru na australia por conto do corona, triste ğŸ˜¢""";;
1409,@felipeneto,Confere? vídeo da dancinha do Corona será exibido na Ã­ntegra em @CarlosBolsonaro  @moura_101 @felipeneto @RenanSantosMBL @arthurmoledoval @DaniloGentili @tabataamaralsp @kimpkat @CarlaZamburra @CarlaZambelli38 @allantercalivre;;
"1410,@felipeneto,""@felipeneto esse AÍ­  esquizofrênico mata primeiro do que o corona, só  de ouvir as asneiras  que ele fala  agente ,dar vontade de se matar .kkk""";;
1433,@felipeneto,@lrjym_ @joaoamoedonovo @felipeneto @RomeuZema Seria esse o motivo de Minas ser um exemplo nacional na condução da crise do corona? ğŸ¤”;;
1434,@felipeneto,@RachelSherazade @felipeneto @SOCIO_CORONA carteirinha;;
1437,@felipeneto,@pedrokobri @felipeneto @SOCIO_CORONA @SOCIO_CORONA carteirinha;;
"1444,@felipeneto,""@felipeneto Ma,  Só  fico em quarentena Se Eu cair nesse corona.  Estou tomando os cuidados. Agora meu parceiro ficar em casa esperando dinheiro  cair do céu  que eu não vou.""";;
1446,@felipeneto,@felipeneto @SOCIO_CORONA carteirinha;;
1451,@felipeneto,@felipeneto @felipeneto não sei se você sabe mas quem disse que o corona viros é só uma gripezinha foi o doutor @drauziovarella em um vídeo que foi exibido na #globoliixo no dia 30 de janeiro de 2020 !! A e vê se você pesquisar as coisas antes de falar merda que é só isso que você sabe fazer https://t.co/oT37F1Nb2H;;
1452,@felipeneto,@felipeneto @felipeneto não sei se você sabe mas quem disse que o corona viros é só uma gripezinha foi o doutor @drauziovarella em um vídeo que foi exibido na #globoliixo no dia 30 de janeiro de 2020 !! A e vê se você pesquisar as coisas antes de falar merda que é só isso que você sabe fazer https://t.co/oT37F1Nb2H;;
"1499,@felipeneto,""@felipeneto #FelipeNetoResponde ";;
Oie, moro na Australia e gostaria de saber quando você vai vir procurar o janguru?;;
(Aproveitar que aqui o caso do corona ja ta super controlado);;
"Obs: Eu meu namorado vemos todo dias seus videos no café da manha e até começamos a jogar minecraft juntos.""";;
"1542,@felipeneto,""@felipeneto A mesma q disse q o corona nao se transmitia de humano pra humano?";;
Nao seria a Organizaçao Mundial do Achismo?!;;
Cara, nao quer?!;;
"Nao toma! ğŸ™„ğŸ˜‰""";;
"1562,@felipeneto,""@direitaop @Luan_Galdino14 @caiosuet @Baliguti @felipeneto Já a dúvida sobre a intubação é bem tosca. O corona promove uma inflamação de grande intensidade no epitélio brónquico e deixa o seu pulmão parecendo uma """"esponja"""". Isso tudo pode acabar causando insuficiência respiratória e levando a intubação traqueal que te ajuda a respirar.""";;
"1566,@felipeneto,""@AlexandreCuper1 @felipeneto Querido com todo mundo morto de corona não tem empresa, não tem trabalho, não tem nada. Antes de trabalhar a pessoa tem que estar viva.""";;
"1570,@felipeneto,""@coronavirusnobr @felipeneto Poura men, corona tem cu!? to por fora da conversa pq eu nao sabia! ğŸ˜®ğŸ˜³""";;
1579,@felipeneto,@dheysondutra @felipeneto @GokuPiauiense Duvido tu pegar corona e usar lá lá lá lá;;
"1593,@felipeneto,""@felipeneto Que medicamento o Secretário da Saúde";;
;;
"de SP tomou quando teve o corona?""";;
1619,@felipeneto,@felipeneto Oque você faria se o corona virus acabasse agora ? #FelipeNetoResponde;;
"1632,@felipeneto,""@Douglas92725945 @felipeneto Kkkkkkkkk, engraçado esse povo que defende a Argentina. país caloteiro, após sair da crise do corona viris, vai entrar em outra bem pior, desemprego, fome, ninguém vai querer investir em um país caloteiro.""";;
1642,@felipeneto,@Rafa_Souza03 @gcomentarios @felipeneto Annita é um remédio vermífugo que o governo tinha imaginado ser a cura do Corona;;
1643,@felipeneto,@_com_huehuebr @gcomentarios @felipeneto Annita é um remédio vermífugo que o governo tinha imaginado ser a cura do Corona;;
