Source,Target,Type,Weight
610,26186,Directed,1
611,26187,Directed,1
612,26188,Directed,1
613,26189,Directed,1
614,26190,Directed,1
615,26191,Directed,1
616,26192,Directed,1
617,26193,Directed,1
618,26194,Directed,1
619,26195,Directed,1
620,26196,Directed,1
621,26197,Directed,1
622,25673,Directed,1
623,25891,Directed,1
624,25622,Directed,1
625,26198,Directed,1
626,26199,Directed,1
627,26200,Directed,1
628,26201,Directed,1
629,26202,Directed,1
630,26203,Directed,1
631,26204,Directed,1
632,26205,Directed,1
633,26206,Directed,1
634,26207,Directed,1
635,26208,Directed,1
636,26209,Directed,1
637,25874,Directed,1
638,26210,Directed,1
639,26211,Directed,1
640,26212,Directed,1
641,26213,Directed,1
642,25649,Directed,1
643,26214,Directed,1
644,26215,Directed,1
334,26216,Directed,1
645,26217,Directed,1
646,26218,Directed,1
647,26219,Directed,1
648,26220,Directed,1
649,26221,Directed,1
650,26222,Directed,1
651,26223,Directed,1
652,26224,Directed,1
653,26225,Directed,1
654,26226,Directed,1
655,26227,Directed,1
656,26228,Directed,1
657,26229,Directed,1
658,26230,Directed,1
659,26231,Directed,1
660,26232,Directed,1
661,26233,Directed,1
662,26234,Directed,1
663,26235,Directed,1
664,26236,Directed,1
18,26013,Directed,1
665,26237,Directed,1
666,26238,Directed,1
667,26239,Directed,1
668,26240,Directed,1
669,26241,Directed,1
670,26242,Directed,1
671,26243,Directed,1
672,26244,Directed,1
673,26245,Directed,1
674,26246,Directed,1
675,26247,Directed,1
676,26248,Directed,1
677,26249,Directed,1
678,26250,Directed,1
679,26251,Directed,1
680,26252,Directed,1
681,26253,Directed,1
682,26254,Directed,1
683,26255,Directed,1
684,26256,Directed,1
685,25874,Directed,1
686,26257,Directed,1
687,26258,Directed,1
688,26259,Directed,1
689,26260,Directed,1
690,26261,Directed,1
691,26262,Directed,1
692,26263,Directed,1
693,26115,Directed,1
694,26264,Directed,1
695,26134,Directed,1
696,26265,Directed,1
697,26266,Directed,1
698,26267,Directed,1
699,26268,Directed,1
700,26269,Directed,1
701,26270,Directed,1
702,26271,Directed,1
703,26272,Directed,1
704,26273,Directed,1
705,26274,Directed,1
706,26275,Directed,1
707,26276,Directed,1
708,26277,Directed,1
709,25720,Directed,1
710,26278,Directed,1
711,26279,Directed,1
712,26280,Directed,1
713,26281,Directed,1
685,26282,Directed,1
714,25803,Directed,1
715,26283,Directed,1
716,26284,Directed,1
717,26285,Directed,1
718,26286,Directed,1
719,26287,Directed,1
720,26288,Directed,1
721,26289,Directed,1
722,26290,Directed,1
723,26291,Directed,1
724,26292,Directed,1
725,26293,Directed,1
726,26294,Directed,1
727,25752,Directed,1
728,25739,Directed,1
729,26295,Directed,1
730,26296,Directed,1
731,26297,Directed,1
732,26298,Directed,1
733,26299,Directed,1
734,26300,Directed,1
735,26301,Directed,1
736,26302,Directed,1
737,26303,Directed,1
738,26304,Directed,1
739,26305,Directed,1
740,26306,Directed,1
741,26307,Directed,1
742,26308,Directed,1
743,26309,Directed,1
744,26310,Directed,1
745,25624,Directed,1
746,25891,Directed,1
747,26311,Directed,1
748,25698,Directed,1
749,26312,Directed,1
750,26313,Directed,1
751,26314,Directed,1
752,26315,Directed,1
753,26316,Directed,1
754,26317,Directed,1
755,26318,Directed,1
756,26319,Directed,1
757,26320,Directed,1
758,26321,Directed,1
759,26322,Directed,1
760,26323,Directed,1
761,25739,Directed,1
762,26324,Directed,1
763,25649,Directed,1
764,26325,Directed,1
765,26326,Directed,1
766,26327,Directed,1
767,26328,Directed,1
768,26329,Directed,1
769,26330,Directed,1
770,26331,Directed,1
771,26332,Directed,1
772,26333,Directed,1
773,26334,Directed,1
774,25870,Directed,1
775,26335,Directed,1
776,26336,Directed,1
777,25752,Directed,1
778,26337,Directed,1
779,26338,Directed,1
780,26339,Directed,1
781,26340,Directed,1
782,26341,Directed,1
783,26342,Directed,1
215,26343,Directed,1
784,26344,Directed,1
785,26345,Directed,1
786,26346,Directed,1
787,26347,Directed,1
788,26348,Directed,1
789,26349,Directed,1
790,26350,Directed,1
791,26351,Directed,1
792,26352,Directed,1
793,25853,Directed,1
794,26353,Directed,1
795,26354,Directed,1
796,25649,Directed,1
797,26355,Directed,1
798,26356,Directed,1
799,26357,Directed,1
800,26358,Directed,1
801,26359,Directed,1
802,26360,Directed,1
803,26361,Directed,1
804,26362,Directed,1
805,26363,Directed,1
806,26364,Directed,1
807,26365,Directed,1
808,26125,Directed,1
809,26366,Directed,1
810,26367,Directed,1
811,26368,Directed,1
812,26369,Directed,1
813,25698,Directed,1
814,26370,Directed,1
815,26371,Directed,1
816,26372,Directed,1
817,26373,Directed,1
818,26374,Directed,1
819,26375,Directed,1
820,26376,Directed,1
821,25868,Directed,1
822,26377,Directed,1
823,26378,Directed,1
824,26379,Directed,1
825,26380,Directed,1
826,26381,Directed,1
827,26013,Directed,1
828,26273,Directed,1
829,26382,Directed,1
830,25891,Directed,1
831,26383,Directed,1
832,26384,Directed,1
833,26385,Directed,1
834,26267,Directed,1
835,26386,Directed,1
836,26387,Directed,1
837,26388,Directed,1
838,26389,Directed,1
839,26390,Directed,1
840,26391,Directed,1
841,26392,Directed,1
842,26393,Directed,1
843,26394,Directed,1
844,26395,Directed,1
845,26396,Directed,1
846,26397,Directed,1
847,26398,Directed,1
848,26399,Directed,1
849,26400,Directed,1
850,26401,Directed,1
851,26402,Directed,1
852,26403,Directed,1
853,26404,Directed,1
854,25790,Directed,1
