,usuario,texto;;;;;;;;
"2535,@JornalOGlobo,""@gugachacra @JornalOGlobo Esse jornalista fraco, sÛ sabe fazer polÌtica pra esquerda. Porra cara vai a merda! Seja imparcial, fala do Lula que saqueou o Brasil, que adoro o coronavÌrus, que est· torcendo para o povo morrer. Fala dele e seja um jornalista neutro.""";;;;;;;;
2541,@JornalOGlobo,@JornalOGlobo Filhos dos outros n„o importa ! Podem todos morrerem  de coronavÌrus   Que pra ele È normal . Todos podem morrrer de fome pra ele È normal ele n„o faz milagre;;;;;;;;
2550,@JornalOGlobo,@JornalOGlobo Foi coronavÌrus?;;;;;;;;
2582,@JornalOGlobo,@JornalOGlobo Para vocÍs verem como a letalidade do corona È baixa.;;;;;;;;
"2669,@JornalOGlobo,""@JornalOGlobo ComeÁa,  o bolsonaro, corona  virus, CORONAVIRUS bolsonaro""";;;;;;;;
2707,@JornalOGlobo,@JornalOGlobo Se tem um Pais que os criadores do coronavÌrus n„o v„o brigar nunca È o Brasil. … daqui que eles levam comida barata pro Povo deles. Precisamos deles mas eles precisam muito mais de nÛs.;;;;;;;;
"2739,@JornalOGlobo,""@sofiaschurig @roxerinn @Celebrimbs @JornalOGlobo E vc È Deus pra decretar minha morte? Quem garante que se eu for infectado eu vou morrer? Sabe quantas pessoas foram curadas? Do jeito que vc fala, passa a sensaÁ„o de q se pega corona t· morto. N„o È bem assim.""";;;;;;;;
2767,@JornalOGlobo,@JornalOGlobo Como que estes fdp o coronavÌrus n„o leva tem pacto com o diabo;;;;;;;;
"2871,@JornalOGlobo,""@Couvedbruxelas @DeboraM32027991 @JornalOGlobo @DamaresAlves Em vez de vocÍ perder tempo atacando as pessoas de bem, porque vocÍ n„o ataca o Jo„o DÛria e witzel? foram eles que permitiram o Corona entrar atravÈs do carnaval,procura se informar melhor""";;;;;;;;
2886,@JornalOGlobo,@JornalOGlobo Porque esses filhos da puta n„o v„o fazer reuniao ministerial dentro de uma UTI com 20 internados com corona em estado grave;;;;;;;;
