,usuario,texto;;;
3892,@RodrigoMaia,@RodrigoMaia A verdadeira vitória será quando vc analisar e colocar em votação o impeachment do capitão Corona depois que o STF mandar divulgar o video dos horrores.;;;
4015,@RodrigoMaia,@marceloramosam Nosso congresso precisa estar 100% focado na luta contra o Coronavírus.  Precisamos adiar a votação da PL 2633/20 @RodrigoMaia    #PL2633NAO  #PLdaGrilagemNao;;;
"4080,@RodrigoMaia,""@RodrigoMaia O Coronavírus só podia ser coisa da China. Porcaria. é mata polílico vagabundo como Maia, Alcolumbre e a vergonha nacional que são os capa preta STF.""";;;
"4127,@RodrigoMaia,""@RodrigoMaia Quando é que vocês(polílicos em geral),acabarão com os próprios privilégios e cortarão metade dos próprios salários , usando-os no combate ao corona-vírus e auxílio Ã  população?""";;;
"4238,@RodrigoMaia,""@RodrigoMaia Continuando se as acusações dos filhos dele foram aceitas ele vai dar um golpe .";;;
Cada vez mais militares no governo para agradá-los e facilitar o golpe.;;;
"O senhor ficará para história já aviso é sou petista e tb é votei nesse capitão Corona.""";;;
"4255,@RodrigoMaia,""1.179 mortes em 24 horas, é se engane, coronavírus é só um bode expiatório, os verdadeiros genocidas são os politicos, @RodrigoMaia , @davialcolumbre , @jairbolsonaro , e toda cloasse politca!""";;;
"4288,@RodrigoMaia,""@rswagner @rosaneoliveira @RodrigoMaia Pelo o que Lula fala, faz o quê, bate palma. Agradecendo o Coronavírus.  Dona Rosane de Oliveira, mais uma servil da Globo. Já que a RBS, já é a maior parte deles. Segue a cartilha, seé o quadro de demissões aumenta""";;;
"4331,@RodrigoMaia,""@essediafoilouco @RodrigoMaia Querer impeachment do PR nesse momento é o mesmo que ele vem fazendo. é é o momento para mudarmos o foco da pandemia. Tem que ser analisado um caso de impeachment, sim. Mas é agora. É hora de juntar forças contra o corona! Coisa que o PR é vem fazendo.""";;;
"4339,@RodrigoMaia,""@SolAgra2 @Tata88600800 @FechadosC @AndreVicente9 @RodrigoMaia Agora vai fazer aquela manifestação na rua pra pegar um corona, mas é esqueça de antes fazer um documento abrindo mão dos respiradores. Magda do sol eclipsado.""";;;
"4398,@RodrigoMaia,""Eu Ã± consigo aceitar que o bolsonaro ainda seja presidente. @RodrigoMaia porfavor isso é inadmissível, chega de notas de repúdio, ninguém tá com tempo pra deixar um palhaço na presidência. Se é fosse pelo corona teria mta gente nas ruas!! #ForaBolsonaro #ImpeachmentDeBolsonaro https://t.co/dIamLUQ968""";;;
4430,@RodrigoMaia,@raulchequer @RodrigoMaia O pior que terá gente dizendo que é um sacrifício para livrar o Brasil do corona comunista.;;;
4436,@RodrigoMaia,@amandamoraes500 @EuuBee @camorra_p @theblackcoelho @Z1FLPs @RodrigoMaia Ótimo assim o trabalho do corona fica mais fácil rs;;;
