,usuario,texto;;
"1665,@g1,""@g1 Que doidera mano, só no brasil que um ministro do supremo é reprovado até no exame de corona.";;
"Já não bastava ter rodados nos exames para Juiz.""";;
"1669,@g1,""@VINISS0 @Dony282 @beththj @g1 Quais são os estados com mais restrições por causa do corona? Quantas pessoas morreram nesses estados? E nos estados com menos restrições? Quantas pessoas morreram? Pq RJ, AM, SP, CE, PÉ têm mais mortes que MG, PR, MS?""";;
"1679,@g1,""@Arrudaquimica1 @g1 Qual outra forma que não seja um """"corona delivery""""?""";;
"1696,@g1,""@g1 incluindo todas as doenças , porque agora ninguem mais morre mais de outras doenças, mas so de coronavírus!""";;
"1697,@g1,""@dalebolsonaro @araqueiro @g1 """" pra quem quiser viver """" ";;
"Esse remédio pode até matar com certeza se eu ficasse com Corona e alguém perguntar se eu permitia o uso de cloroquina e óbvio que eu não iria assinar""";;
"1738,@g1,""@g1 Evangélicos são perigosos tomem cuidado, eles estão pior que o corona""";;
1745,@g1,@g1 E aquela corona virose que os cachorros tem?sera que a vaçina que os caes usam nao poderia ser eficaz em humanos ja que mata o corona viróse?@fiocruz @g1;;
1746,@g1,@g1 E aquela corona virose que os cachorros tem?sera que a vaçina que os caes usam nao poderia ser eficaz em humanos ja que mata o corona viróse?@fiocruz @g1;;
"1750,@g1,""@g1 Só ajuda quem tem Lupus tá. Quem tem corona e toma, só ajuda a publi do Bolsonaro.""";;
1759,@g1,@g1 @ValdoCruz A torcida contra a economia e a favor do corona;;
1761,@g1,@IIIIIIIIllllIll @g1 GLOBO tem a carteirinha de socio torcedor do corona;;
"1763,@g1,""@brom_elisa @rafaelpaesx @g1 Quando tem vários casos no Brasil tbm, de pessoas que perderam várias pessoas da sua família pro corona tbm.""";;
"1769,@g1,""@g1 Ixi essa Historia de novo, o próximo faz  um com Jesus pegou coronavírus e tomou Cloroquina e morreu.""";;
"1770,@g1,""@g1 Oxe, mas o governador de lá disse que não tem mais corona, estado com menor taxa, tudo voltar ao normal""";;
"1779,@g1,""@kaydarai @oitaisa @g1 Sim, mas devido Ã  falta instantânea de leitos de UTI tiveram que manter ela no hospital privado, essa é a questão. Claro, é um problema pontual devido ao corona, mas a proporção de leitos por habitante é bem assustadora fora do eixo Sul e Sudeste""";;
1786,@g1,@Filh0o0 @IIIIIIIIllllIll @g1 Claramente 96mil torcedores do corona...;;
1791,@g1,@muylaerte @g1 @MPF_PGR Se lembra de uns dias atrís que o bozo queria inocentar agentes públicos caso houvesse erro no quesito combate ao corona? Então....;;
1796,@g1,@g1 OMS tem a carteirinha de socio torcedor do corona;;
"1808,@g1,""@g1 Se não fosse o corona, duvido vocês divulgar isso Mkkkk ia ser só estatísticas.""";;
"1811,@g1,""@g1 Os caras soltam a rapaziada,também dá nisso";;
;;
"Assassinatos pelo corona""";;
1816,@g1,@g1 @AndreiaSadi Quem sabe pega o Corona;;
"1826,@g1,""@g1 @AndreiaSadi Primeiro ele vai se aconselhar com Gabinete do ódio pq eles entendem muito de ciência...";;
"Senhorrrr esse país é uma piada! Nem o Corona tá querendo o Bolsonario!!!""";;
1827,@g1,@cosiello @g1 Espero que ele não tome msm. Já q não tem eficácia p corona...;;
"1828,@g1,""@g1 @AndreiaSadi Não.... Por favor não..... Nossa a turma que andou com Ele pegaram coronavírus.... Se ele for visitar hospitais... Para que .... É isolamento , agora o que Ele vai fazer lá . O Diretor clínico de um Hospital sério não vai deixar ninguém..... É o certo....""";;
"1834,@g1,""@jvagner_alves @Patriiiciiio @g1 Se o país tem 300mil casos de corona realmente é pra ir pra rua, o problema é que a corrupção ocorre até em momentos de crise""";;
1838,@g1,@g1 Vai Corona !!!!!!;;
