,usuario,texto;;
"2860,@SF_Moro,""@CarlaZambelli38 @SF_Moro @jairbolsonaro Eis a razão do presidente não trabalhar, até o momento https://t.co/O85nL4NRf6 mostrado incapaz de articular um plano eficaz para combater o coronavírus. Para ele e sua trupe ainda estão em campanha. Que se dane o Brasil com seus mortos, o que interessa é o poder.""";;
2870,@SF_Moro,@PolaDaSilva3 @JaneviVoces @joicehasselmann @jairbolsonaro @SF_Moro Ele morreu já do próprio coronavírus.;;
"2884,@SF_Moro,""@JanainaDoBrasil @JanainaDoBrasil , aproveita que a mídia está focada em falar do corona e exclui aqueles twitters que vc vangloriava o @SF_Moro sobre sua saída. E aproveita tbem e pede desculpa pro @jairbolsonaro por não ter aceito o cargo de vice.""";;
"2922,@SF_Moro,""@diogomainardi Como video do @SF_Moro não decolou, a estratégia agora é voltar ao corona...""";;
2926,@SF_Moro,@joicehasselmann @jairbolsonaro @SF_Moro Vc foi outra que tômou uma mijada fazendo merda e agora tá de mulher traída fazendo inferninho já que vc é a corona na parada largue o cargo de deputada e vá pra prefeitura de São Paulo já que vc tá com tanta moral estará eleita não e;;
"3129,@SF_Moro,""@SF_Moro tipo a saída do h1n1, que até hj morre muita gente no mundo? se eu pegar o corona, a 1ª coisa é tomar a hidroxicloroquina. essa vacina aí­, a menos que saia Ã  preço de custo, é unica e exclusivamente para enriquecer alguém.""";;
"3157,@SF_Moro,""@SF_Moro O corona não tá subindo mais que o desejo de poder subiu a sua cabeça.";;
Esquece traiu acabou.;;
"Chega de papo furado.""";;
3170,@SF_Moro,@SF_Moro Com todo respeito... enquanto ministro não tinha opiniões sobre nada. Agora passou até a informar mortes por dia do corona.;;
"3178,@SF_Moro,""@SF_Moro Colocando todas as mortes  ne juiz. Porque nao ta morrendo  mais de acidente  coração  enfarte  etc ";;
"As unicas  mortes são  so de corona  virus""";;
3192,@SF_Moro,@SF_Moro Considerando que se morrer de qualquer outra coisa a causa da morte sai como corona?;;
"3260,@SF_Moro,""@congemfoco @SF_Moro @jairbolsonaro @policiafederal Libera ô Vídeo";;
Libera a Canabis;;
"Pro coronavírus""";;
"3264,@SF_Moro,""@SF_Moro ninguém morrem mais de outras doenças , todas mortes a garo é só de corona ?    balela de políticos canalhas vagabundos igual ao Dória e outros que vai na mesma linha dele , o povo vai morre de fome dentro e suas casas , é isso que esses comunistas querem !!!""";;
3265,@SF_Moro,@carlosmaltz @SF_Moro já começou a campanha pra 2022 eo que está em evidência  no Brasil Corona então a campanha começa encima do corona kkkkkk;;
"3275,@SF_Moro,""@SF_Moro O coronavírus não é mesmo piada, uma piada é vc.""";;
3292,@SF_Moro,@SF_Moro Pior que o Corona são os traidores e fofoqueiros Sr Moro!!;;
3294,@SF_Moro,@ChrystianHenr20 @SF_Moro O Lula dá Graças a Deus que o corona apareceu e você diz que Jesus não aguenta Bolsonaro?;;
"3297,@SF_Moro,""@FBregeiro @SF_Moro Minha escolha é cloroquina que salva ! As palavras do moro são tão úteis quando doria ou vera Magalhães kkkkkkk se pegar o corona, leia o Twitter do moro. Ele cura ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚""";;
"3324,@SF_Moro,""@SF_Moro Solidariedade é um sentimento de amor ao próximo, e á pátria neste momento em que um vírus destrói vidas humanas, e cidaDÁos em uma guerra sem armas, ainda, contra esse  inimigo, chamado, e pouco conhecido, de Corona.""";;
"3328,@SF_Moro,""@SF_Moro Vc ao invés de ter se preocupado em investigar se as mortes todas seria por corona , vc preferiu ficar gravando conversinha fiada e levar pra Globo,  hipócrita traidor vagabundo""";;
3347,@SF_Moro,@SF_Moro Juro que queria muito acreditar que só se morre de corona 1000 pessoas ao dia morrendo só de corona a conta não bate;;
3364,@SF_Moro,@SF_Moro Nem posição tomou contra o Corona quando estava no governo. Que pais que você estava? Psdbista.;;
